,title,author,length of book,unique words,published on,updated date,language
289,Arthurian Chronicles: Roman de Brut,Wace,75526.0,11493.0,"December 16, 2003",,English
290,The Heart of the Range,William Patterson White,97668.0,18073.0,"December 16, 2003",,English
291,The Lost Naval Papers,Bennet Copplestone,83161.0,15141.0,"December 16, 2003",,English
292,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,16041.0,3650.0,"December 16, 2003 ",,English
293,The Vanishing Man,R. Austin Freeman,3554.0,1153.0,"December 16, 2003 ",,English
294,"Beacon Lights of History, Volume I",John Lord,3542.0,1155.0,"December 16, 2003 ",,English
295,"Beacon Lights of History, Volume II",John Lord,3437.0,1146.0,"December 16, 2003 ",,English
296,Our Churches and Chapels,Atticus,135244.0,23345.0,"December 16, 2003 ",,English
297,The Young Mother,William A. Alcott,31626.0,8587.0,"December 17, 2003",,English
298,Short Stories Old and New,Selected and Edited by C. Alphonso Smith,23223.0,7412.0,"December 17, 2003",,English
299,"Beacon Lights of History, Volume III",John Lord,67561.0,11134.0,"December 17, 2003 ",,English
300,Experiments in Government and the Essentials of the Constitution,Elihu Root,17781.0,4928.0,"December 17, 2003 ",,English
301,Audio: Twelve Gates to the City,Roger McGuinn,3511.0,1165.0,"December 17, 2003 ",,English
302,Audio: Alabama Bound,Roger McGuinn,3485.0,1174.0,"December 17, 2003 ",,English
303,Audio: Away in a Manger,Roger McGuinn,3416.0,1134.0,"December 17, 2003 ",,English
304,An English Garner,Edited by Professor Arber and Thomas Seccombe,3601.0,1169.0,"December 18, 2003",,English
305,The Golden Legend,Henry Wadsworth Longfellow,3620.0,1199.0,"December 18, 2003",,English
306,Practice Book,Leland Powers,3678.0,1209.0,"December 18, 2003",,English
307,Henry the Second,Mrs. J. R. Green,3808.0,1243.0,"December 18, 2003 ",,English
308,Under King Constantine,Katrina Trask,3775.0,1236.0,"December 18, 2003 ",,English
309,Audio: Battle Hymn of the Republic,Roger McGuinn,45465.0,8586.0,"December 18, 2003 ",,English
310,Audio: Ain' No Mo' Cane on De Brazis,Roger McGuinn,155514.0,18720.0,"December 19, 2003 ",,English
311,Audio: Delia's Gone,Roger McGuinn,4655.0,1602.0,"December 19, 2003 ",,English
312,Audio: Heave Away,Roger McGuinn,20007.0,4554.0,"December 19, 2003 ",,English
313,Audio: The Whale Catchers,Roger McGuinn,12215.0,3687.0,"December 19, 2003 ",,English
314,Audio: John Henry,Roger McGuinn,57253.0,11524.0,"December 19, 2003 ",,English
315,Audio: Liverpool Gals,Roger McGuinn,11015.0,3416.0,"December 19, 2003 ",,English
316,Audio: Waltzing Matilda,Roger McGuinn,25104.0,7584.0,"December 19, 2003 ",,English
317,The Sorrows of a Show Girl,Kenneth McGaffey,82792.0,12672.0,"December 20, 2003 ",,English
318,The Bars of Iron,Ethel May Dell,31342.0,5456.0,"December 20, 2003 ",,English
319,Inaugural Presidential Address,William Jefferson Clinton,85328.0,14807.0,"June 12, 2008",,English
320,On the Seashore,R. Cadwallader Smith,21246.0,6112.0,"December 22, 2003 ",,English
321,Rhymes of a Roughneck,Pat O'Cotter,3533.0,1150.0,"December 22, 2003 ",,English
322,Bits About Home Matters,Helen Hunt Jackson,3603.0,1164.0,"December 23, 2003",,English
323,Government and Rebellion,E. E. Adams,3625.0,1179.0,"December 23, 2003",,English
324,Poems,John Hay,3573.0,1188.0,"December 23, 2003",,English
325,Mercy Philbrick's Choice,Helen Hunt Jackson,3617.0,1206.0,"December 23, 2003",,English
326,The Compleat Cook,"Anonymous, given as ""W. M.""",3603.0,1202.0,"December 23, 2003",,English
327,The Primadonna,F. Marion Crawford,3599.0,1204.0,"December 23, 2003 ","October 27, 2015]",English
328,"Beacon Lights of History, Volume IV",John Lord,92743.0,15760.0,"December 23, 2003 ",,English
329,Alcestis,Euripides,101814.0,17786.0,"December 23, 2003",,English
330,Audio: We Wish You a Merry Christmas,Roger McGuinn,85780.0,15312.0,"December 23, 2003 ",,English
331,Audio: Michael Row the Boat Ashore,Roger McGuinn,74933.0,11873.0,"December 23, 2003 ",,English
332,Audio: Nancy Whiskey,Roger McGuinn,3347.0,1125.0,"December 23, 2003 ",,English
333,Audio: On the Banks of the Ohio,Roger McGuinn,68649.0,9661.0,"December 23, 2003 ",,English
334,Audio: I Heard the Bells on Christmas Day,Roger McGuinn,42137.0,8091.0,"December 23, 2003 ",,English
335,Audio: I am a Pilgrim,Roger McGuinn,75918.0,13928.0,"December 23, 2003 ",,English
336,Audio: Ride Railroad Bill,Roger McGuinn,27879.0,6190.0,"December 23, 2003 ",,English
337,"Beacon Lights of History, Volume V",John Lord,63486.0,7860.0,"December 24, 2003 ",,English
338,"Beacon Lights of History, Volume VI",John Lord,60717.0,12630.0,"December 24, 2003 ",,English
339,"Beacon Lights of History, Volume VII",John Lord,19152.0,6020.0,"December 25, 2003 ",,English
340,The Double Traitor ,E. Phillips Oppenheim,172357.0,19666.0,"December 25, 2003 ",,English
341,Jingle Bells,John Pierpont,40431.0,8548.0,"December 25, 2003 ",,English
342,The Governors,E. Phillips Oppenheim,40068.0,9991.0,"December 27, 2003 ",,English
343,In the Riding-School; Chats With Esmeralda,Theo. Stephenson Browne,129752.0,16945.0,"December 28, 2003 ",,English
344,Mother Carey's Chickens,Kate Douglas Wiggin,132643.0,24253.0,"December 29, 2003 ",,English
345,Children's Classics In Dramatic Form,Augusta Stevenson,46745.0,6606.0,"December 29, 2003 ",,English
346,"The Boats of the ""Glen Carrig""",William Hope Hodgson,198830.0,22577.0,"December 29, 2003 ",,English
347,Norwegian Life,Ethlyn T. Clough,3604.0,1243.0,"December 30, 2003",,English
348,"Punchinello, Volume 2, No. 37, December 10, 1870",Various,107956.0,18336.0,"December 30, 2003",,English
349,The Sea Lions,James Fenimore Cooper,7115.0,2446.0,"December 30, 2003",,English
350,So Runs the World,"Henryk Sienkiewicz,",7150.0,2441.0,"December 30, 2003",,English
351,The Westcotes,Arthur Thomas Quiller-Couch,7450.0,2208.0,"December 30, 2003 ",,English
352,A Romance of the Republic,Lydia Maria Francis Child,7173.0,2436.0,"December 30, 2003 ",,English
353,"A Select Collection of Old English Plays, Vol. IX",Various,7070.0,2195.0,"December 31, 2003",,English
354,Affair in Araby,Talbot Mundy,6849.0,2222.0,"December 31, 2003","December 17, 2012]",English
355,Roy Blakeley,Percy Keese Fitzhugh,7479.0,2247.0,"December 31, 2003 ",,English
356,"The Life of Marie Antoinette, Queen of France",Charles Duke Yonge,6782.0,2332.0,"January 1, 2004",,English
357,The Old Man in the Corner,Baroness Orczy,7081.0,2202.0,"January 1, 2004","January 18, 2014]",English
358,Johnny Crow's Party,L. Leslie Brooke,6825.0,2258.0,"January 1, 2004",,English
359,The Last of the Foresters,John Esten Cooke,7298.0,2350.0,"January 2, 2004",,English
360,Fine Feathers,W.W. Jacobs,7090.0,2251.0,"January 1, 2004",,English
361,Friends In Need,W.W. Jacobs,49570.0,9118.0,"January 1, 2004",,English
362,Good Intentions,W.W. Jacobs,237522.0,22729.0,"January 1, 2004",,English
363,Fairy Gold,W.W. Jacobs,58262.0,10415.0,"January 1, 2004",,English
364,Watch-Dogs,W.W. Jacobs,53070.0,8439.0,"January 1, 2004",,English
365,The Bequest,W.W. Jacobs,60408.0,12910.0,"January 1, 2004",,English
366,The Guardian Angel,W.W. Jacobs,49085.0,7923.0,"January 1, 2004",,English
367,Dual Control,W.W. Jacobs,27300.0,5575.0,"January 1, 2004",,English
368,Skilled Assistance,W.W. Jacobs,60867.0,10368.0,"January 1, 2004",,English
369,For Better or Worse,W.W. Jacobs,16153.0,3389.0,"January 1, 2004",,English
370,The Old Man of the Sea,W.W. Jacobs,133140.0,18121.0,"January 1, 2004",,English
371,Manners Makyth Man,W.W. Jacobs,48593.0,8850.0,"January 1, 2004",,English
372,"Ship's Company, The Entire Collection",W.W. Jacobs,74233.0,10762.0,"October 29, 2006",,English
373,"The History of England, Volume I",David Hume,57433.0,10813.0,"January 2, 2004 ",,English
374,The Profiteers ,E. Phillips Oppenheim,101133.0,22295.0,"January 2, 2004 ",,English
375,The Aeroplane Boys Flight,John Luther Langworthy,56337.0,12708.0,"January 2, 2004",,English
376,A Hidden Life and Other Poems,George MacDonald,17087.0,4678.0,"January 2, 2004",,English
377,Joe Strong The Boy Fire-Eater,Vance Barnum,109690.0,16857.0,"January 2, 2004",,English
378,The Positive School of Criminology,Enrico Ferri,47526.0,9412.0,"January 2, 2004",,English
379,Uncle Bernac,Arthur Conan Doyle,38079.0,8302.0,"January 2, 2004",,English
380,For Luncheon and Supper Guests,Alice Bradley,14716.0,5150.0,"January 2, 2004",,English
381,Holland,Thomas Colley Grattan,15024.0,5281.0,"January 3, 2004",,English
382,Air Service Boys Over the Atlantic ,Charles Amory Beach,34565.0,10229.0,"January 3, 2004 ",,English
383,My Strangest Case,Guy Boothby,48552.0,10483.0,"January 4, 2004",,English
384,Mike and Psmith,P. G. Wodehouse,106036.0,18022.0,"January 4, 2004",,English
385,The Poetical Works of Addison; Gay's Fables; and Somerville's Chase,,46552.0,9808.0,"January 4, 2004",,English
386,"Seeing Europe with Famous Authors, Volume I.",Various,224351.0,26080.0,"January 4, 2004",,English
387,Turkish Prisoners in Egypt,Various,33757.0,5967.0,"January 4, 2004",,English
388,Lady Mary Wortley Montague,Lewis Melville,49002.0,10262.0,"January 4, 2004",,English
389,A Lie Never Justifiable,H. Clay Trumbull,87792.0,20312.0,"January 4, 2004 ",,English
390,Adventures In Friendship,David Grayson,19285.0,5242.0,"January 4, 2004",,English
391,"Punch, or the London Charivari, Vol. 153, Sept. 12, 1917",Various,30515.0,7244.0,"January 4, 2004 ",,English
392,"Punch, or the London Charivari, Vol. 153, Sept. 19, 1917",Various,214781.0,30442.0,"January 4, 2004 ",,English
393,Cap and Gown,Selected by Frederic Knowles,186010.0,23832.0,"January 4, 2004",,English
394,Four Early Pamphlets,William Godwin,56395.0,10500.0,"January 5, 2004",,English
395,The Lives of the Poets of Great Britain and Ireland (1753),Theophilus Cibber,54837.0,8485.0,"January 5, 2004",,English
396,Lost In The Air,Roy J. Snell,47413.0,9590.0,"January 5, 2004",,English
397,"A General History and Collection of Voyages and Travels, Vol. 1",Robert Kerr,15713.0,5391.0,"January 4, 2004",,English
398,The Rangeland Avenger,Max Brand,127910.0,11690.0,"January 5, 2004","May 26, 2013",English
399,With Kelly to Chitral,William George Laurence Beynon,17657.0,4294.0,"January 5, 2004",,English
400,Adventures In Contentment,David Grayson,5842.0,1946.0,"January 5, 2004",,English
401,"The Tragedie of Hamlet, Prince of Denmark",George MacDonald,55906.0,11611.0,"January 5, 2004",,English
402,The Real Mother Goose,(Illustrated by Blanche Fisher Wright),22534.0,7926.0,"January 5, 2004",,English
403,"The Turquoise Cup, and, The Desert",Arthur Cosslett Smith,73867.0,14069.0,"January 5, 2004 ",,English
404,English Literature,William J. Long,101181.0,17076.0,"January 6, 2004",,English
405,"Letters and Journals of James, Eighth Earl of Elgin","James, Eighth Earl of Elgin",60442.0,10809.0,"January 6, 2004",,English
406,"An Essay on the Slavery and Commerce of the Human Species, Particularly the African",Thomas Clarkson,84783.0,18347.0,"January 6, 2004",,English
407,Supply and Demand,Hubert D. Henderson,86798.0,15261.0,"January 6, 2004",,English
408,The Theory of Social Revolutions,Brooks Adams,40442.0,7734.0,"January 6, 2004",,English
409,"Punch, or the London Charivari, Vol. 153, Sept. 5, 1917",Various,45629.0,6975.0,"January 6, 2004 ",,English
410,"An Essay Concerning Humane Understanding, Volume II.",John Locke,5014.0,1753.0,"January 6, 2004",,English
411,Within the Deep,R. Cadwallader Smith,171079.0,30899.0,"January 6, 2004",,English
412,Jesus Says So,Unknown,27044.0,5940.0,"January 22, 2004",,English
413,An Englishman's Travels in America,John Benwell,241502.0,22981.0,"January 6, 2004",,English
414,The Works of Francis Beaumont and John Fletcher in Ten Volumes,Beaumont and Fletcher,109260.0,21048.0,"January 7, 2004",,English
415,Birthright,T.S. Stribling,65551.0,11009.0,"January 7, 2004",,English
416,The Lives of the Poets of Great Britain and Ireland (1753),Theophilus Cibber,65407.0,13077.0,"January 7, 2004",,English
417,Plays,Susan Glaspell,16936.0,4431.0,"January 7, 2004",,English
418,"Atlantic Monthly, Volume 2, Issue 10, August, 1858",Various,78086.0,13970.0,"January 7, 2004 ",,English
419,"Beacon Lights of History, Volume VIII",John Lord,80072.0,13564.0,"January 8, 2004 ",,English
420,Andrew Golding,Annie E. Keeling,72230.0,12109.0,"January 8, 2004",,English
421,Britain at Bay,Spenser Wilkinson,113694.0,19181.0,"January 8, 2004",,English
422,Coming to the King,Frances Ridley Havergal,78218.0,13427.0,"January 8, 2004",,English
423,Halleck's New English Literature,Reuben P. Halleck,3535.0,1148.0,"January 8, 2004",,English
424,"The Healthy Life Cook Book, 2d ed.",Florence Daniel,3779.0,1262.0,"January 8, 2004",,English
425,"The History of the Rise, Progress and Accomplishment of the",Thomas Clarkson,77082.0,13555.0,"May 16, 2007",,English
426,"Stories from the Italian Poets: With Lives of the Writers, Vol. 2",Leigh Hunt,104980.0,19243.0,"January 8, 2004",,English
427,The Uprising of a Great People,Count Agenor de Gasparin,108887.0,18966.0,"January 8, 2004",,English
428,The Youthful Wanderer,George H. Heffner,3767.0,1190.0,"January 8, 2004",,English
429,Phrases for Public Speakers and Paragraphs for Study,Compiled by Grenville Kleiser,3604.0,1166.0,"January 8, 2004",,English
430,"Beacon Lights of History, Volume IX",John Lord,3642.0,1245.0,"January 8, 2004 ",,English
431,"Beacon Lights of History, Volume X",John Lord,3799.0,1281.0,"January 8, 2004 ",,English
432,Towards the Great Peace,Ralph Adams Cram,3571.0,1204.0,"January 8, 2004",,English
433,The Worlds Greatest Books,"Arthur Mee, J. A. Hammerton, Eds.",140070.0,19697.0,"January 8, 2004",,English
434,"Beacon Lights of History, Volume XI",John Lord,107574.0,22539.0,"January 8, 2004 ",,English
435,Audio: Go Tell Aunt Rhodie,Roger McGuinn,163130.0,17560.0,"January 8, 2004 ",,English
436,Audio: Roddy McCorley,Roger McGuinn,109653.0,17822.0,"January 8, 2004 ",,English
437,"Beacon Lights of History, Volume XII",John Lord,51135.0,9810.0,"January 8, 2004 ",,English
438,"Beacon Lights of History, Volume XIII",John Lord,101254.0,18639.0,"January 8, 2004 ",,English
439,"Beacon Lights of History, Volume XIV",John Lord,65630.0,8758.0,"January 9, 2004 ",,English
440,Audio: When the Saints Go Marching In,Roger McGuinn,200345.0,12274.0,"January 8, 2004 ",,English
441,Audio: Shenandoah,Roger McGuinn,14923.0,5369.0,"January 8, 2004 ",,English
442,Audio: Spanish is the Loving Tongue,Roger McGuinn,90885.0,13204.0,"January 8, 2004 ",,English
443,Audio: The Squid-Jigging Ground,Roger McGuinn,36620.0,7562.0,"January 8, 2004 ",,English
444,Audio: The St. James Infirmary Blues,Roger McGuinn,122418.0,18326.0,"January 8, 2004 ",,English
445,Autobiography of Sir George Biddell Airy,George Biddell Airy,155672.0,24957.0,"January 9, 2004",,English
446,"A Collection of Old English Plays, Vol. II",Various,47008.0,9665.0,"January 9, 2004",,English
447,"""De Bello Gallico"" and Other Commentaries",Caius Julius Caesar,56413.0,14339.0,"January 9, 2004",,English
448,Hilda Lessways,Arnold Bennett,142885.0,26523.0,"January 9, 2004",,English
449,Three More John Silence Stories,Algernon Blackwood,42578.0,8178.0,"January 9, 2004",,English
450,Lives of the English Poets,Henry Francis Cary,63979.0,12222.0,"January 9, 2004",,English
451,A Selection from the Discourses of Epictetus With the Encheiridion,Epictetus,118195.0,20130.0,"January 9, 2004",,English
452,The Night Land,William Hope Hodgson,99505.0,16951.0,"January 9, 2004",,English
453,"Punch, or the London Charivari, Vol. 153, Sept. 26, 1917",Various,12201.0,3683.0,"January 9, 2004 ",,English
454,"Life, Letters, and Epicurean Philosophy of Ninon de L'Enclos,","Robinson [and] Overton, ed. and translation.",57192.0,11070.0,"January 10, 2004",,English
455,The Public vs. M. Gustave Flaubert,Various,57600.0,10688.0,"January 10, 2004",,English
456,The War and Democracy,,22284.0,4935.0,"January 10, 2004",,English
457,At Last,Charles Kingsley,156855.0,18962.0,"January 10, 2004 ",,English
458,With Zola in England,Ernest Alfred Vizetelly,175983.0,19047.0,"January 10, 2004",,English
459,The Botanic Garden. Part II.,Erasmus Darwin,115713.0,14092.0,"January 11, 2004",,English
460,"The Principal Navigations, Voyages, Traffiques,",Richard Hakluyt,82151.0,13182.0,"January 11, 2004",,English
461,How to Use Your Mind,Harry D. Kitson,95602.0,20649.0,"January 11, 2004",,English
462,Pebbles on the Shore,Alpha of the Plough (Alfred George Gardiner),55032.0,8546.0,"January 11, 2004",,English
463,The Reign of Greed,Jose Rizal,49609.0,8774.0,"October 10, 2005",,English
464,Biographical Memorials of James Oglethorpe,Thaddeus Mason Harris,169111.0,24805.0,"January 11, 2004 ",,English
465,The Story of the Other Wise Man,Henry van Dyke,216322.0,26222.0,"January 11, 2004 ",,English
466,A History of Freedom of Thought,John Bagnell Bury,204857.0,24438.0,"January 11, 2004",,English
467,The Campfire Girls at Camp Keewaydin,Hildegard G. Frey,8332.0,2874.0,"January 11, 2004 ",,English
468,A Desperate Chance,Old Sleuth (Harlan P. Halsey),72118.0,15915.0,"January 12, 2004",,English
469,Select Speeches of Kossuth,Kossuth,35745.0,9130.0,"January 12, 2004",,English
470,A Life of Gen. Robert E. Lee,John Esten Cooke,70764.0,10491.0,"January 12, 2004",,English
471,"A Political Diary 1828-1830, Volume II",Edward Law (Lord Ellenborough),15338.0,5425.0,"January 12, 2004",,English
472,Sea-Power and Other Studies,Admiral Sir Cyprian Bridge,40731.0,7952.0,"January 12, 2004",,English
473,"Atlantic Monthly, Volume 3, Issue 15, January, 1859",Various,48768.0,9288.0,"January 12, 2004 ",,English
474,The Danger Trail,James Oliver Curwood,25316.0,5726.0,"January 12, 2004 ",,English
475,The Aeroplane Boys on the Wing,John Luther Langworthy,55436.0,10963.0,"January 13, 2004",,English
476,Character Writings of the 17th Century,Various,86353.0,14207.0,"January 13, 2004",,English
477,The History of England from the First Invasion by the Romans,John Lingard and Hilaire Belloc,16467.0,5457.0,"January 13, 2004",,English
478,"The History of Rome, Book III",Theodor Mommsen,14190.0,5182.0,"May 4, 2004 ",,English
479,A Christmas Mystery,William J. Locke,78301.0,12150.0,"January 13, 2004",,English
480,Miscellaneous Essays,Thomas de Quincey,30988.0,7660.0,"January 13, 2004",,English
481,Prince Zaleski,M.P. Shiel,48566.0,8118.0,"January 13, 2004",,English
482,Problems of Poverty,John A. Hobson,40393.0,8775.0,"January 13, 2004 ",,English
483,"Punch, or the London Charivari, Vol. 153, Oct. 3, 1917",Various,30365.0,6014.0,"January 13, 2004 ",,English
484,The Art of Literature,Arthur Schopenhauer,103140.0,14789.0,"January 14, 2004",,English
485,Counsels and Maxims,Arthur Schopenhauer,35555.0,6260.0,"January 14, 2004",,English
486,The Epic,Lascelles Abercrombie,50333.0,8869.0,"January 14, 2004",,English
487,The Extant Odes of Pindar,Pindar,16678.0,5730.0,"January 14, 2004",,English
488,The House of Whispers,William Le Queux,33417.0,6563.0,"January 14, 2004 ",,English
489,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,33834.0,7122.0,"January 14, 2004 ",,English
490,"Punch, or the London Charivari, Vol. 153, Oct. 10, 1917",Various,121837.0,17578.0,"August 8, 2005",,English
491,Plays,Alexander Ostrovsky,87765.0,19235.0,"January 15, 2004",,English
492,Betty's Bright Idea; Deacon Pitkin's Farm; and The First Christmas,Harriet Beecher Stowe,22728.0,5779.0,"January 15, 2004 ",,English
493,The Store Boy,"Horatio Alger, Jr.",53571.0,10134.0,"January 15, 2004 ",,English
494,The Centralia Conspiracy,Ralph Chaplin,4096.0,1419.0,"January 16, 2004 ",,English
495,"Outlines of Lessons in Botany, Part I; From Seed to Leaf",Jane H. Newell,74459.0,12380.0,"January 16, 2004 ",,English
496,A Set of Rogues,Frank Barrett,35509.0,7382.0,"January 16, 2004 ",,English
497,"Christie, the King's Servant",Mrs. O. F. Walton,20454.0,4834.0,"January 16, 2004 ",,English
498,Jack's Ward,"Horatio Alger, Jr.",41433.0,8305.0,"January 16, 2004 ",,English
499,"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,3436.0,1174.0,"January 17, 2004 ",,English
500,The Essays of Arthur Schopenhauer; The Art of Controversy,Arthur Schopenhauer,85266.0,14771.0,"January 17, 2004 ",,English
501,The Essays of Arthur Schopenhauer; Studies in Pessimism,Arthur Schopenhauer,129009.0,10562.0,"January 17, 2004 ",,English
502,Studies in Civics,James T. McCleary,41397.0,10742.0,"January 17, 2004 ",,English
503,"A Collection of Old English Plays, Vol. III",Various,110257.0,18246.0,"January 17, 2004",,English
504,Christmas Eve on Lonesome and Other Stories,"John Fox, Jr.",3858.0,1414.0,"January 17, 2004 ",,English
505,Children of the Frost,Jack London,24105.0,6988.0,"January 17, 2004 ",,English
506,Book about Animals,Rufus Merrill,20728.0,5613.0,"January 18, 2004",,English
507,Mahomet,Gladys M. Draycott,3707.0,1235.0,"January 18, 2004",,English
508,The Essays Of Arthur Schopenhauer,Arthur Schopenhauer,100867.0,13516.0,"January 18, 2004",,English
509,The Way of Peace,James Allen,60583.0,10949.0,"January 18, 2004",,English
510,The Essays Of Arthur Schopenhauer: The Wisdom of Life,Arthur Schopenhauer,3514.0,1154.0,"January 18, 2004",,English
511,The Picture Alphabet,Oliver Spafford,3679.0,1237.0,"January 18, 2004 ",,English
512,Moonfleet,J. Meade Falkner,3607.0,1175.0,"January 18, 2004","December 4, 2013]",English
513,"Men, Women, and Ghosts",Elizabeth Stuart Phelps,50554.0,10609.0,"January 18, 2004",,English
514,The Story of the Champions of the Round Table,Howard Pyle,57324.0,13938.0,"January 18, 2004 ",,English
515,Chantecler,Edmond Rostand,61201.0,12667.0,"January 19, 2004",,English
516,"The World's Greatest Books, Vol III","Arthur Mee and J.A. Hammerton, Eds.",66021.0,16752.0,"January 19, 2004",,English
517,The Circus Procession,Unknown,102022.0,16412.0,"January 21, 2004 ",,English
518,The Miracle and Other Poems,Virna Sheard,10863.0,3220.0,"January 19, 2004 ","August 27, 2011]",English
519,"Oregon, Washington and Alaska; Sights and Scenes for the Tourist",E. L. Lomax,115919.0,18227.0,"January 19, 2004 ",,English
520,Open Source Democracy,Douglas Rushkoff,224139.0,29330.0,"January 20, 2004 ",,English
521,Little Sarah,Unknown,14925.0,3797.0,"January 20, 2004 ",,English
522,The Broken Road ,A. E. W. Mason,97417.0,15455.0,"January 20, 2004 ",,English
523,Between Whiles,Helen Hunt Jackson,25514.0,4828.0,"January 20, 2004 ",,English
524,Audio: Pretty Saro,Roger McGuinn,46361.0,7928.0,"January 20, 2004 ",,English
525,Audio: Star-Spangled Banner,Roger McGuinn,24818.0,5184.0,"January 20, 2004 ",,English
526,Audio: Tarrytown,Roger McGuinn,19280.0,6090.0,"January 20, 2004 ",,English
527,A Florida Sketch-Book,Bradford Torrey,5229.0,1711.0,"January 21, 2004",,English
528,Essays of Robert Louis Stevenson,Robert Louis Stevenson,7324.0,2233.0,"January 21, 2004",,English
529,Impressions of Theophrastus Such,George Eliot,7237.0,2419.0,"January 26, 2007",,English
530,It Can Be Done,Joseph Morris,7136.0,2214.0,"January 21, 2004",,English
531,Thrilling Adventures by Land and Sea,James O. Brayman,7189.0,2424.0,"January 21, 2004",,English
532,Courage,J. M. Barrie,6880.0,2338.0,"January 21, 2004",,English
533,A Wanderer in Florence,E. V. Lucas,7237.0,2140.0,"January 21, 2004",,English
534,The Former Philippines thru Foreign Eyes,Tomas de Comyn,6779.0,2292.0,"April 14, 2011",,English
535,Philippine Folklore Stories,John Maurice Miller,7579.0,2226.0,"January 21, 2004",,English
536,Inca Land,Hiram Bingham,7349.0,2424.0,"January 21, 2004",,English
537,Ancient and Modern Physics,Thomas E. Willson,7382.0,2233.0,"January 21, 2004",,English
538,The Moving Picture Boys at Panama,Victor Appleton,6681.0,2242.0,"January 22, 2004",,English
539,Probable Sons,Amy LeFeuvre,6945.0,2164.0,"January 22, 2004",,English
540,The Prose Marmion,Sara D. Jenkins,80389.0,11708.0,"January 22, 2004",,English
541,Happy Little Edward,Unknown,28675.0,7068.0,"January 22, 2004",,English
542,Only an Incident,Grace Denio Litchfield,4798.0,1794.0,"January 22, 2004","July 12, 2012]",English
543,Deserted,W.W. Jacobs,97239.0,19626.0,"January 22, 2004",,English
544,Homeward Bound,W.W. Jacobs,98911.0,16641.0,"January 22, 2004",,English
545,Self-Help,W.W. Jacobs,108596.0,15420.0,"January 22, 2004",,English
546,Sentence Deferred,W.W. Jacobs,548291.0,99888.0,"January 22, 2004",,English
547,Matrimonial Openings,W.W. Jacobs,113475.0,19535.0,"January 22, 2004",,English
548,Odd Man Out,W.W. Jacobs,226054.0,22563.0,"January 22, 2004",,English
549,The Toll-House,W.W. Jacobs,105024.0,11764.0,"January 22, 2004",,English
550,Peter's Pence,W.W. Jacobs,14276.0,4103.0,"January 22, 2004",,English
551,The Head of The Family,W.W. Jacobs,36725.0,6592.0,"January 22, 2004",,English
552,Prize Money,W.W. Jacobs,180446.0,19087.0,"January 22, 2004",,English
553,Double Dealing,W.W. Jacobs,10303.0,2961.0,"January 22, 2004",,English
554,Keeping Up Appearances,W.W. Jacobs,75170.0,12718.0,"January 22, 2004",,English
555,Dahcotah,Mary Eastman,56338.0,10353.0,"January 22, 2004",,English
556,Yorkshire--Coast & Moorland Scenes,Gordon Home,57708.0,13804.0,"January 22, 2004",,English
557,The Story of the Two Bulls,John R. Bolles,21835.0,5162.0,"January 22, 2004",,English
558,The Wits and Beaux of Society,Grace & Philip Wharton,23024.0,7428.0,"January 22, 2004",,English
559,Paths of Glory,Irvin S. Cobb,17431.0,4507.0,"January 22, 2004",,English
560,"Clarissa, Volume 5 (of 9)",Samuel Richardson,7476.0,2630.0,"January 23, 2004",,English
561,The Anatomy of Melancholy,Democritus Junior,82004.0,10386.0,"January 13, 2004",,English
562,"Coleridge's Literary Remains, Volume 4.",Samuel Taylor Coleridge,111336.0,18445.0,"January 23, 2004",,English
563,"A General History and Collection of Voyages and Travels, Vol. II",Robert Kerr,33351.0,8310.0,"January 23, 2004",,English
564,The Fortunate Foundlings,Eliza Fowler Haywood,112854.0,14221.0,"January 23, 2004",,English
565,Count The Cost,Jonathan Steadfast,7356.0,2455.0,"January 23, 2004",,English
566,The Sword of Welleran and Other Stories,Lord Dunsany,26665.0,5934.0,"January 23, 2004",,English
567,The Constitutional History of England From 1760 to 1860,Charles Duke Yonge,56864.0,8491.0,"January 23, 2004",,English
568,Consumers' Cooperative Societies in New York State,The Consumers' League of New York,32723.0,7183.0,"January 23, 2004",,English
569,"Why We Are At War (2nd Edition, revised)",Members of the Oxford Faculty of Modern History,5747.0,2061.0,"January 23, 2004 ",,English
570,The Young Trail Hunters,Samuel Woodworth Cozzens,147450.0,28752.0,"January 23, 2004 ",,English
571,De La Salle Fifth Reader,Brothers of the Christian Schools,30064.0,6653.0,"January 23, 2004",,English
572,The Worshipper of the Image,Richard Le Gallienne,15995.0,5680.0,"January 23, 2004",,English
573,A Versailles Christmas-Tide,Mary Stuart Boyd,6474.0,2231.0,"January 23, 2004",,English
574,"Legends, Tales and Poems",Gustavo Adolfo Becquer,95782.0,13554.0,"January 24, 2004","January 12, 2016]",English
575,Messages and Papers of the Presidents: Harrison,James D. Richardson,98001.0,13931.0,"January 24, 2004",,English
576,The Giant Hands,Alfred Crowquill,70753.0,8225.0,"January 24, 2004",,English
577,Anne Severn and the Fieldings,May Sinclair,46987.0,9377.0,"January 29, 2004",,English
578,Sport and Work on the Nepaul Frontier,James Inglis,16144.0,5523.0,"January 24, 2004",,English
579,The Book-Bills of Narcissus,"Le Gallienne, Richard",89137.0,16687.0,"January 25, 2004",,English
